date (dd-mm-yyyy),num_1,num_2,num_3,num_4,num_5,star_1,star_2,jackpot (in EUR)
13-02-2004,16,29,32,36,41,7,9,15000000
20-02-2004,7,13,39,47,50,2,5,15000000
27-02-2004,14,18,19,31,37,4,5,17750473
05-03-2004,4,7,33,37,39,1,5,20678070
12-03-2004,15,24,28,44,47,4,5,15000000
19-03-2004,33,36,37,42,45,4,9,17411777
26-03-2004,3,4,10,23,43,2,4,20147534
02-04-2004,4,12,24,27,36,2,9,22930640
09-04-2004,1,4,10,19,23,2,8,25556285
16-04-2004,14,15,28,35,40,1,3,15011353
23-04-2004,6,10,21,45,49,3,5,20000000
30-04-2004,5,6,16,23,27,6,7,25007266
07-05-2004,15,16,21,36,38,1,5,29999234
14-05-2004,1,3,21,32,39,2,6,33816137
21-05-2004,15,29,37,39,49,4,9,10000000
28-05-2004,6,11,35,41,44,5,6,10000000
04-06-2004,9,13,34,41,42,3,7,12488171
11-06-2004,2,7,8,10,47,1,7,10000000
18-06-2004,2,23,28,40,43,2,6,12286876
25-06-2004,3,21,30,34,35,1,2,10000000
02-07-2004,4,23,24,28,34,1,3,12215040
09-07-2004,2,5,12,19,44,8,9,14571040
16-07-2004,24,26,31,38,50,5,8,16962299
23-07-2004,7,10,27,31,34,3,8,19342755
30-07-2004,9,10,19,37,50,1,6,22082923
06-08-2004,5,15,24,35,44,5,6,24746858
13-08-2004,20,27,41,43,50,5,8,10000000
20-08-2004,6,9,10,27,35,6,8,12317818
27-08-2004,1,11,22,28,44,1,9,14709804
03-09-2004,8,12,14,15,34,6,7,17305121
10-09-2004,5,25,33,36,38,2,5,20061218
17-09-2004,15,18,29,39,41,5,8,23039325
24-09-2004,21,26,27,44,48,1,7,26260777
01-10-2004,12,20,21,45,48,5,6,29785269
08-10-2004,1,10,12,16,48,2,6,10000000
15-10-2004,14,21,22,37,43,5,8,17276072
22-10-2004,1,9,23,25,40,3,9,25059130
29-10-2004,1,8,32,35,38,4,9,10000000
05-11-2004,6,19,25,42,49,1,7,17253134
12-11-2004,4,11,12,13,32,3,9,24828113
19-11-2004,1,18,29,34,37,2,6,33437557
26-11-2004,1,4,24,34,36,6,8,43756502
03-12-2004,1,11,15,42,49,3,4,10000000
10-12-2004,1,3,13,16,43,2,7,17892320
17-12-2004,15,19,22,46,49,2,9,26215627
24-12-2004,3,4,27,29,37,5,6,10000000
31-12-2004,7,8,24,25,47,8,9,10000000
07-01-2005,3,23,27,47,50,2,3,17730870
14-01-2005,6,11,14,19,29,1,3,26007362
21-01-2005,10,12,14,24,26,5,8,10000000
28-01-2005,7,21,26,43,45,5,7,17700365
04-02-2005,1,8,11,30,40,7,8,25868030
11-02-2005,11,13,25,32,50,4,7,34776948
18-02-2005,20,21,26,32,46,8,9,10000000
25-02-2005,3,27,30,43,44,4,8,10000000
04-03-2005,12,24,32,37,39,7,9,17882839
11-03-2005,8,12,23,40,43,1,4,26371829
18-03-2005,6,23,39,43,48,5,7,35429502
25-03-2005,4,29,33,37,38,6,9,45218910
01-04-2005,25,26,41,44,47,3,7,53793484
08-04-2005,7,11,25,31,50,1,3,64040749
15-04-2005,6,28,31,38,42,3,9,15000000
22-04-2005,3,10,13,24,47,5,9,23749558
29-04-2005,3,9,35,39,42,1,8,15000000
06-05-2005,7,12,21,26,44,6,8,23445886
13-05-2005,12,17,31,32,40,2,9,33145554
